Name,Company,Title,Industry,LinkedIn,Innovera Contact
Pin Pin Tea-makorn,Sasin School of Management,AI Strategist,Education / AI,https://www.linkedin.com/in/pin-pin-tea-makorn,Daniel
Aung Kaung Pyae (Christian),United Board for Christian Higher Education in Asia,Educational Technology Officer,Education / EdTech,https://www.linkedin.com/in/aung-kaung-pyae,Daniel
Lina Romashkova,HARBOUR.SPACE,Academic Director,Education / EdTech,https://www.linkedin.com/in/lina-romashkova-37628643,Daniel
Mike Lepech,STVP - Stanford Engineering Entrepreneurship Center,Faculty Director,Education / Entrepreneurship,https://www.linkedin.com/in/mike-lepech-b6553b9,Daniel
Paul Meyers,Asia Founder Coaching,Head Coach,Education / Entrepreneurship,https://www.linkedin.com/in/paulmeyers,Daniel
Sep Riahi,Global Tinker,Executive Producer & CEO,Education / Media,https://www.linkedin.com/in/sepriahi,Daniel
Anastasiya Tyurina,Founder, CEO,Garage Tech Academy,Education / Startup,https://www.linkedin.com/in/anastasyatyurina,Daniel
Tom Everson,Educational Consultant,CodeLite,Education / Technology,https://www.linkedin.com/in/tomeverson-hs,Daniel
Dandan Wu,Founder,ChronoHer Academy,Education / Training,https://www.linkedin.com/in/dandanwuchina,Daniel
Bradley Loiselle,Founder & CEO,Skills Council of Canada Inc.,Education / Workforce Development,https://www.linkedin.com/in/bradley-l-2647001a,Daniel
Daniel Karlsson,CIO,Preem AB,Energy,https://www.linkedin.com/in/daniel-karlsson-b43546,Daniel
Alexei Beltyukov,Founder,Universal Fuel Technologies,Energy / Cleantech,https://www.linkedin.com/in/alexei-b-baa6672,Daniel
Nat Jitwarawong,B.Grimm,Assistant VP - Project & Business Development,Energy / Infrastructure,https://www.linkedin.com/in/nat-j-aa4bb649,Daniel
Vivek Chawla,Director,Weston Engg Fabricators Pvt Ltd,Engineering & Manufacturing,https://www.linkedin.com/in/vivekchawla,Daniel
Brandon Talebi,Hewlett Packard Enterprise,AI & GPU Sales Specialist,Enterprise Hardware / AI,https://www.linkedin.com/in/brandontalebi,Daniel
Scott Moyer,Hewlett Packard Enterprise,Business Development Manager - Nvidia Alliance Team,Enterprise Hardware / AI,https://www.linkedin.com/in/scott-moyer-56918a41,Daniel
Jim Myrick,VP Enterprise Sales,Bytez,Enterprise Software,https://www.linkedin.com/in/jim-myrick-19b162,Daniel
Ashley Tarver,Microsoft,Data & AI Cloud Evangelist,Enterprise Software / AI,https://www.linkedin.com/in/ashley-ai,Daniel
Tony Zirnoon, CISSP,Actian,Director of Channel & Strategic Partnerships,Enterprise Software / Data Management,https://www.linkedin.com/in/zirnoon,Daniel
Daniel Jung,TigerGraph,Chief Financial Officer,Enterprise Software / Graph Databases,https://www.linkedin.com/in/danieljung,Daniel
Massimo Malizia,Cisco,Director Corporate Development Integration,Enterprise Tech / Networking,https://www.linkedin.com/in/massimomalizia,Daniel
Patrick Borre,CEO,Billetto ApS,Events / Ticketing,https://www.linkedin.com/in/patrick-borre-625baa1,Daniel
Amber Allen,Founder & CEO,Double A Labs,Experiential Marketing / Media,https://www.linkedin.com/in/amberdallen,Daniel
Anton Holmberg,Robes Rental,Co-Founder & Head of Product,Fashion / Rental,https://www.linkedin.com/in/holmberga,Daniel
Andrew Komarovski,Mannequin Technologies,Co-Founder,Fashion Tech,https://www.linkedin.com/in/akomarovski,Daniel
Geoff Headington,Managing Director,HSBC Innovation Banking,Finance / Banking,https://www.linkedin.com/in/geoff-headington-467969,Daniel
Jeff Faust,Abbott, Stringham & Lynch,Principal, Valuation Services,Finance / Consulting,https://www.linkedin.com/in/jfaust1,Daniel
Shadaab Kanwal, MBA.MISM.,Managing Director Digital, Data and Analytics,Charles Schwab,Finance / Digital Transformation,https://www.linkedin.com/in/skanwal,Daniel
Sunayna Tuteja,Chief Innovation Officer,Federal Reserve System,Finance / Government,https://www.linkedin.com/in/sunaynatuteja,Daniel
Jonathan Doochin,Executive Chairman,Firefly Capital Management,Finance / Investment,https://www.linkedin.com/in/doochin,Daniel
Pavel Koktyshev,Member,The Financial Club,Finance / Investment,https://www.linkedin.com/in/pavel-koktyshev-ab792713,Daniel
David Santana,Fidelity Private Shares,VP, Business Partner Manager,Finance / Private Markets,https://www.linkedin.com/in/davidsantanamontanez,Daniel
Andrea Notari,Corporate Venture Capital & Open Innovation Manager,Credem Banca,Finance / Venture Capital,https://www.linkedin.com/in/andreanotari11,Daniel
Anu Datta,AssetMark,Talent Consultant,Financial Services / HR,https://www.linkedin.com/in/anudatta,Daniel
Shahzad Khan,Chief Strategy & Growth Officer,KEYNO,Fintech,https://www.linkedin.com/in/shahzad-khan-85a0945,Daniel
Anastasia Adizes,Innovator,Agatha Global Tech,Fintech / Insurance,https://www.linkedin.com/in/aadizes,Daniel
Mayank Gupta,CaseBasix,CEO,Fintech / LegalTech,https://www.linkedin.com/in/mayank-gupta-50a1ba9,Daniel
Anika Brain,CEO & CBDO, Co-Founder,PlaySEND.co,Fintech / Payments,https://www.linkedin.com/in/anikabrain,Daniel
Wesley Samples,Strategic Operations,Ordo,Fintech / SaaS,https://www.linkedin.com/in/wesleysamples,Daniel
Josh Steinfeld,Carta,Principal Product Strategist,Fintech / SaaS,https://www.linkedin.com/in/josh-steinfeld,Daniel
Michael Schrader, CFA,Board Observer,Kinder's Premium Quality Seasonings & Sauces,Food & Beverage,https://www.linkedin.com/in/schradermichael,Daniel
Anastasia Trofimova,Sundö Foods,CEO & Co-Founder,Food & Beverage,https://www.linkedin.com/in/anastasia-trofimova-67650940,Daniel
Victoria Bracha,VB Fine Chocolates,Founder & Professional Chocolatier,Food & Beverage,https://www.linkedin.com/in/victoria-bracha,Daniel
Pavel Volkov,Compass Group,-,Food & Beverage / Corporate,https://www.linkedin.com/in/paul-volk-pro,Daniel
Ezra Goldman,Upshift,Co-Founder & CEO,Gig Economy / Workforce Platform,https://www.linkedin.com/in/ezrajgoldman,Daniel
Shilpa S Nath,IMDA,Community & Communications Lead, AI verify foundation,Government / AI Policy,https://www.linkedin.com/in/shilpasn,Daniel
Fredrik Weisner,Vinnova,Strategic Area Leader, Digital Transformation,Government / Innovation,https://www.linkedin.com/in/fredrikweisner,Daniel
Majid Samman,Strategic Partnerships Director,Ministry of Communications & IT (Saudi Arabia),Government / Technology,https://www.linkedin.com/in/majidsamman,Daniel
Genta Ando,Executive Director,JETRO - Japan External Trade Organization,Government & International Trade,https://www.linkedin.com/in/genta-ando-22332627,Daniel
Sanid Patil,Sr. AVP & Sector Lead,Invest India,Government & International Trade,https://www.linkedin.com/in/sanid-patil-9b141732,Daniel
Michal Tavrovsky,Co-Founder & Chief Commercial Officer,MenHealth,Health & Wellness,https://www.linkedin.com/in/michaltavrovsky,Daniel
David Kaiser,Founder and CEO,Scienza Health,Health & Wellness,https://www.linkedin.com/in/davidkaiser369,Daniel
Hanna Aliashkevich, MD,PigPug Health,Co-Founder,Health Tech,https://www.linkedin.com/in/neurannette,Daniel
Karim Damji,Executive Board Member,Spectrum Clinical Research,Healthcare & Clinical Research,https://www.linkedin.com/in/karimdamji,Daniel
Allan Gobbs,CEO & Chairman, Investor,YCare,Healthcare & Clinical Research,https://www.linkedin.com/in/gobbs,Daniel
George Kalogeropoulos,HealthSherpa,CEO,HealthTech / Insurance,https://www.linkedin.com/in/georgekalogeropoulos,Daniel
Jeevan J. Singh,PocketMD,Founder & CEO,HealthTech / SaaS,https://www.linkedin.com/in/jeevan-j-singh-87a81725,Daniel
Beth Doores,Director for Alumni Networks,Washington University in St. Louis,Higher Education,https://www.linkedin.com/in/bethdoores,Daniel
Ben Nelson,Minerva University,Founder & Chancellor,Higher Education,https://www.linkedin.com/in/bennelson3,Daniel
Ivan Bilugan,HARBOUR.SPACE,Campus Manager,Higher Education,https://www.linkedin.com/in/ivanbilugan,Daniel
Aye Myat Thiri Aung (Amandaa),HARBOUR.SPACE,Academic Coordinator,Higher Education,https://www.linkedin.com/in/ayemyatthiriaung,Daniel
II Luscri,AVP Innovation & Entrepreneurship; Professor,Washington University in St. Louis,Higher Education / Entrepreneurship,https://www.linkedin.com/in/luscri,Daniel
Chaymaa Rhassate,HARBOUR.SPACE,Head of Marketing and Admissions,Higher Education / Marketing,https://www.linkedin.com/in/chaymaa-rhassate,Daniel
Irina Luzko,Project Manager,WeCP (We Create Problems),HR Tech / Assessments,https://www.linkedin.com/in/irina-luzko,Daniel
Buda Yao,Interim Director of Sales,Justworks,HR Tech / SaaS,https://www.linkedin.com/in/budayao,Daniel
Anastasia Totok,Humantica,Founder,HR Tech / SaaS,https://www.linkedin.com/in/anastasiatotok,Daniel
Jason Diehl,TriNet,Technology Business Consultant,HR Tech / SaaS,https://www.linkedin.com/in/jason-diehl-36383388,Daniel
Mikhail Kolesnikov,CloViC (Cloud Virtual Commissioning),Business Developer,Industrial Automation / SaaS,https://www.linkedin.com/in/mikolesnikov,Daniel
Malur Narayan,XTRIUM,CEO & Co-Founder,Industrial Tech / AI,https://www.linkedin.com/in/malur,Daniel
Sirisha Kuchimanchi,XTRIUM,COO & Co-Founder,Industrial Tech / AI,https://www.linkedin.com/in/sirishakuchimanchi,Daniel
Henrik Jensen,HARTING,Managing Director,Industrial Tech / Manufacturing,https://www.linkedin.com/in/henrik-jensen-240a392,Daniel
Happy Saini,Terramont Infrastructure Partners,Infrastructure - Investment Associate,Infrastructure / Private Equity,https://www.linkedin.com/in/happy-saini,Daniel
Lena Miranda,Linköping Science Park,CEO,Innovation / Startup Ecosystem,https://www.linkedin.com/in/lenamiranda,Daniel
Fyodor Ovchinnikov,Evolutionary Futures Lab,Co-Founder & Director,Innovation / Tech R&D,https://www.linkedin.com/in/fovchinnikov,Daniel
Tommaso Scotti,ELIS Innovation Hub,Innovation Consultant,Innovation Consulting,https://www.linkedin.com/in/scottitommaso,Daniel
Turki Fageera,SIGMA Innovation Engine,Founder & CEO,Innovation Consulting,https://www.linkedin.com/in/tfageera,Daniel
Peter Russell,Kindling,Founder & CEO,Innovation Management Software,https://www.linkedin.com/in/peter-russell-kindling,Daniel
Alfio Villani,Gruppo Unipol,Program Mgmt & Business Innovation Manager (#BeyondInsurance),Insurance / Financial Services,https://www.linkedin.com/in/alfiovillani,Daniel
Luka Prelevic,International Growth,Hellas Direct,Insurtech,https://www.linkedin.com/in/lukaprelevic,Daniel
Suraj Mehta,Investor,Claimable,Insurtech / Investment,https://www.linkedin.com/in/smehta87,Daniel
Dipshant Paudel,Business Development Officer,Oriental Overseas Pvt Ltd,International Trade,https://www.linkedin.com/in/dipshant-paudel-b04651245,Daniel
Johan Schiller,Investment Committee Member,Salica Investments,Investment / Private Equity,https://www.linkedin.com/in/johan-schiller-542748120,Daniel
Abhishek Raju,DI - Invest Holding GmbH,Director,Investment / Private Equity,https://www.linkedin.com/in/abhishekraju,Daniel
Ilia Mikerov,PSP Investments,Senior Portfolio Manager, International Equities,Investment Management / Finance,https://www.linkedin.com/in/iliamikerov,Daniel
Varun Gupta,Founding Partner,Varun Gupta Law,Legal,https://www.linkedin.com/in/varun-gupta-0215468,Daniel
Tod Kupstas,Principal, Intellectual Property Attorney,Offit Kurman, P.A.,Legal / IP,https://www.linkedin.com/in/tod-kupstas-892547b,Daniel
Andrew Harper,Partner,Goodwin,Legal / Law,https://www.linkedin.com/in/andrew-harper-541b9a25,Daniel
Roger Rappoport,Snell & Wilmer,Partner,Legal / Law,https://www.linkedin.com/in/rogerrappoport,Daniel
Paul M. Russo, PhD,CEO & Founder,K2X Technology & Life Science,Life Sciences / Tech,https://www.linkedin.com/in/paul-m-russo-phd-106a416,Daniel
Daniel Dubois,Co-Founder,Handled,Logistics / Marketplace,https://www.linkedin.com/in/danielmdubois,Daniel
Anthony Gonzalez,Handoff,Founder,Logistics / SaaS,https://www.linkedin.com/in/scalewithtony,Daniel
Oleksandr Popovych, MD/MBA,CEO/Founder,Vista Trans Holding,Logistics / Transportation,https://www.linkedin.com/in/opopovych,Daniel
Nikita Kokorev,Huber Packaging Group,Key Account Manager,Manufacturing / Packaging,https://www.linkedin.com/in/nikita-kokorev-7531158,Daniel
Mike Carter,EMG Worldwide, Inc.,Founder & CEO,Marketing / Advertising,https://www.linkedin.com/in/mmcarter,Daniel
